iter	MultiClass
0	1.065125604
1	1.034458257
2	1.005174454
3	0.9813309067
4	0.9570747211
5	0.9377792242
6	0.9203040923
7	0.9028920946
8	0.8878846283
9	0.8745906387
10	0.8620565855
11	0.8497090124
12	0.8394612458
13	0.8298224549
14	0.821096101
15	0.811688108
16	0.8030091868
17	0.7937208193
18	0.7869261812
19	0.7802758081
20	0.774537104
21	0.7687636405
22	0.7638467533
23	0.7588095085
24	0.754500542
25	0.7497219684
26	0.7451724022
27	0.7400460835
28	0.7365719525
29	0.7329297341
30	0.729562264
31	0.725587699
32	0.723018756
33	0.7195977693
34	0.7163184271
35	0.7140478397
36	0.7109416163
37	0.7087030121
38	0.7064976358
39	0.7044120829
40	0.7018339782
41	0.6993059696
42	0.6972503991
43	0.6949618511
44	0.6921053244
45	0.6900878779
46	0.688137554
47	0.686252017
48	0.6849028122
49	0.6830606124
50	0.6809732427
51	0.6790561123
52	0.677124327
53	0.6742698667
54	0.6724133366
55	0.6712836444
56	0.6693898912
57	0.6680865478
58	0.6661140093
59	0.6649309886
60	0.6633827632
61	0.6621240578
62	0.6609293173
63	0.6589385312
64	0.6570958576
65	0.6556139284
66	0.6539544958
67	0.6524154166
68	0.6507727956
69	0.6492924839
70	0.6482201927
71	0.6467426224
72	0.6454650116
73	0.6442144083
74	0.6429714961
75	0.6405466825
76	0.6390046235
77	0.6379530791
78	0.6369831449
79	0.6356089211
80	0.6342413085
81	0.6327927205
82	0.631563333
83	0.6300004709
84	0.6287786716
85	0.6276286783
86	0.626808834
87	0.6255021089
88	0.6245872739
89	0.6231311002
90	0.6220988229
91	0.6206827276
92	0.6197887707
93	0.6190305564
94	0.6172396099
95	0.6163769612
96	0.6155899377
97	0.6144440242
98	0.6135722868
99	0.6121052679
100	0.6108163172
101	0.6091995663
102	0.6070885542
103	0.6061062535
104	0.6039077076
105	0.603018308
106	0.6021108286
107	0.6010033105
108	0.5998023099
109	0.5984135377
110	0.5966709324
111	0.595280355
112	0.5931226064
113	0.5917583444
114	0.5899498432
115	0.5875077147
116	0.5863005885
117	0.5843842118
118	0.5830012746
119	0.581670454
120	0.5803358983
121	0.5791533848
122	0.5776678865
123	0.5765143923
124	0.5754624085
125	0.5747425077
126	0.5734254098
127	0.572683448
128	0.5716809072
129	0.5709073868
130	0.5694752086
131	0.5681937006
132	0.5673714128
133	0.5662194893
134	0.5647581537
135	0.5632536978
136	0.5622452331
137	0.5614036224
138	0.5604914882
139	0.5595599968
140	0.5582556684
141	0.5574548173
142	0.5569482469
143	0.5557900553
144	0.5543636983
145	0.5534134978
146	0.5525511481
147	0.5512715587
148	0.5501977989
149	0.5494227295
150	0.5483812202
151	0.5474315798
152	0.546333698
153	0.5455464746
154	0.5441600869
155	0.5434422708
156	0.5425509266
157	0.5410907805
158	0.5400496249
159	0.5392073518
160	160	0.5411184397
161	0.5400174121
162	0.5386471248
163	0.5378291797
164	0.5367615352
165	0.5348761166	0.5313279459
167	0.5300118455
168	0.528816445
169	0.5279664993
170	0.527198431
171	0.5254286365
172	0.5247831202
173	0.5242205395
174	0.5235536074
175	0.5228026716
176	0.5217599115
177	0.5209782047
178	0.5204175399
179	0.5189748091
180	0.5182834392
181	0.5172482127
182	0.5161294379
183	0.5152542955
184	0.5143344997
185	0.5136910327
186	0.5127125665
187	0.511849962
188	0.5104012722
189	0.5093934945
190	0.5086831046
191	0.5076618698
192	0.5067070545
193	0.5061328181
194	0.5049577308
195	0.5045180022
196	0.5034769177
197	0.5024601461
198	0.5013859074
199	0.5005140714
200	0.5001072605
201	0.4993163512
202	0.4987753213
203	0.497790464
204	0.4970818485
205	0.4959771385
206	0.4951492919
207	0.4944338828
208	0.4935940269
209	0.4918858542
210	0.4908468994
211	0.4900949197
212	0.4893955828
213	0.4886550712
214	0.4876576259
215	0.4866408886
216	0.4858307253
217	0.4849733559
218	0.4843818219	219	0.4838124647
220	0.482819221	0221	0.481993222	0.4838074509
223	0.4828835657
224	0.4819656261
225	0.4808053552
226	0.4798507755
227	0.4791336468
228	0.4779698931
229	0.47229	0.480230	0.4765901621
231	0.4759969395
232	0.4754270947
233	0.4748514658
234	0.4742894594
235	0.4734834282
236	0.4726454837
237	0.47237	0.473238	0.47238	0.472239	0.47239	0.4721263294
240	0.4714108116
241	0.4706384083
242	0.4700058212
243	0.469415785
244	0.4688241746
245	0.4677155819
246	0.4670419162
247	0.4666130884
248	0.4658428628
249	0.4649781387
250	0.4642746723
251	0.4636705263
252	0.4628174112
253	0.4620625128
254	0.4612183261
255	0.4603869995
256	0.4594924751
257	0.4588563098
258	0.4578933694
259	0.4575334115
260	0.4568189675
261	0.4559815122
262	0.4554871396
263	0.4548587858
264	0.4536797185
265	0.4529298843
266	0.4516285261
267	0.4509474209
268	0.4501495046
269	0.4495248119
270	0.4486420552
271	0.4476352343
272	0.4471007226
273	0.4460663045
274	0.4453784833
275	0.4447604347
276	0.4441539755
277	0.4434372093
278	0.4425654958
279	0.441705782
280	0.441393195
281	0.4406754291
282	0.4403201227
283	0.4397503001
284	0.4389469935
285	0.4376870004
286	0.4370398611
287	0.4362693176
288	0.4353087526
289	0.4347605043
290	0.4342836885
291	0.433511653
292	0.4324874559
293	0.4319550161
294	0.4315185374
295	0.4310065546
296	0.4303001789
297	0.429659265
298	0.4290298592
299	0.42825078
300	0.4276614541
301	0.4271752835
302	0.4267894409
303	0.4261169655
304	0.4255464469
305	0.4245982893
306	0.4234613711
307	0.4228222604
308	0.4219947724
309	0.4216604211
310	0.4209775053
311	0.4202481588
312	0.4198545968
313	0.4192132639
314	0.4181437438
315	0.4175372272
316	0.417039879
317	0.4163449304
318	0.4157984756
319	0.4146741717
320	0.4140488684
321	0.4134138231
322	0.323	0.41339323	0.324	0.41306324	0.4116410154
325	0.326	0.4120996854
327	0.4111540783
328	0.4100695339
329	0.4095011522
330	0.4090216464
331	0.4082123875
332	0.407233372
333	0.4065592709
334	0.4058789893
335	0.4053116115
336	0.404670927
337	0.4040859037
338	0.4037218685
339	0.4031383189
340	0.4024958561
341	0.4020918765
342	0.4015568822
343	0.4008567424
344	0.4003744685
345	0.3997444404
346	0.399114186
347	0.398092426
348	0.3973699464
349	0.3967957704
350	0.3960418211
351	0.3953364383
352	0.3949583944
353	0.3942119117
354	0.3938570482
355	0.3932528088
356	0.3928356267
357	0.3923246069
358	0.39194322
359	0.3915735035
360	0.3908137445
361	0.3900869476
362	0.3895688246
363	0.3890817178
364	0.3886370878
365	0.3883084997
366	0.3878446752
367	0.3872971293
368	0.3867773201
369	0.3860863327
370	0.3858102925
371	0.3854904597
372	0.3848811506
373	0.3843534839
374	0.383815667
375	0.3835213422
376	0.3831022071
377	0.3822283524
378	0.3817366464
379	0.3814219311
380	0.3809164064
381	0.3805576242
382	0.3800817168
383	0.3795268316
384	0.3789547595
385	0.3786719815
386	0.3780878573
387	0.3775309695
388	0.3770246318
389	0.3762193592
390	0.3757117976
391	0.3752753785
392	0.3747295083
393	0.3741170897
394	0.3735932123
395	0.3731122087
396	0.3724307382
397	0.371953205
398	0.3716011316
399	0.3709457226
400	0.3704993753
401	0.3698397068
402	0.3694493499
403	0.3688118575
404	0.3684316959
405	0.3676717211
406	0.3672900777
407	0.3665421994
408	0.3659712378
409	0.3656726172
410	0.3651341536
411	0.36471412	0.3712836972
413	0.3707375809
414	0.3701490727
415	0.3695270446
416	0.3691606865
417	0.3686133044
418	0.3681636447
419	0.3675683806
420	0.3670121479
421	0.3666061683
422	0.3661462441
423	0.365712648
424	0.365252043
425	0.3649420765
426	0.3642727657
427	0.3639547159
428	0.3635498119
429	0.3630997984
430	0.3627103373
431	0.3622488578
432	0.3617773582
433	0.3614651288
434	0.3608343331
435	0.3605142644
436	0.3600364675
437	0.3598574012
438	0.3592299194
439	0.3589097196
440	0.3586083099
441	0.3579878795
442	0.3576129859
443	0.3573329757
444	0.356849442
445	0.3565423194
446	0.3561177616
447	0.3558079932
448	0.3554573912
449	0.3550129037
450	0.3546265689
451	0.3543243486
452	0.3538954762
453	0.353620428
454	0.3533647355
455	0.3531180292
456	0.3528171306
457	0.3524056921
458	0.3521720483
459	0.3517546228
460	0.3513916719
461	0.3509376328
462	0.3506291123
463	0.3501540774
464	0.3496167149
465	0.3493933195
466	0.3490138598
467	0.3484431586
468	0.3477580562
469	0.347588453
470	0.3467404578
