iter	Passed	Remaining
394	7972	12210
395	7976	12165
396	7977	12117
397	7981	12073
398	7984	12027
399	7987	11981
400	7989	11934
401	7991	11888
402	7993	11841
403	8009	11815
404	8013	11772
405	8016	11729
406	8019	11684
407	8021	11639
408	8024	11595
409	8033	11559
410	8047	11533
4412	8042	11431
413	8059	11408
414	8065	11368
415	8073	11334
416	8085	11304
417	8124	11312
418	8129	11272
419	8134	11233
420	8144	11200
421	8185	11211
422	8189	11171
423	8192	11129
424	8229	11133
425	8247	11112
426	8259	11084
427	8276	11061
428	8304	11053
429	8322	11032
430	8341	11012
431	8364	10997
432	8370	10960
433	8398	10952
434	8411	10924
435	8424	10897
436	8433	10865
437	8441	10831
438	8455	10805
439	8509	10830
440	8533	10816
441	8538	10779
442	8562	10766
443	8567	10728
444	8579	10700
445	8633	10724
446	8655	10708
447	8661	10672
448	8669	10639
449	8680	10609
450	8703	10594
451	8716	10567
452	8728	10539
453	8741	10513
454	8749	10479
455	8773	10466
456	8788	10442
457	8794	10407
458	8801	10374
459	8870	10412
460	8884	10387
461	8887	10349
462	8895	10317
463	8915	10298
464	8930	10275
465	8942	10247
466	8958	10224
467	8963	10189
468	8975	10161
469	8989	10136
470	8996	10104
471	8999	10067
472	9009	10037
473	9012	10001
474	9028	9978
475	9035	9946
476	9040	9912
477	9080	9915
478	9091	9888
479	9096	9854
480	9108	9828
481	9115	9796
482	9118	9760
483	9128	9732
484	9135	9700
485	9138	9665
486	9140	9628
487	9143	9593
488	9146	9557
489	9148	9521
490	9151	9486
491	9211	9511
492	9215	9477
493	9219	9443
494	9245	9432
495	9268	9418
496	9278	9390
497	9282	9357
498	9286	9323
499	9291	9291
500	9294	9257
501	9299	92255502	9345	9233
503	9381	9232
504	9386	9200506	9406	9146
507	9408	9112
508	9420	9087
509	9427	9057
510	9475	9067
511	9487	9042
512	9490	9009
513	9522	9003
514	9541	8986
515	9550	8958
516	9588	8958
517	9597	8930
518	9650	8943
519	9655	8912
520	9733	8948
521	9777	8952
522	9779	8919
523	9782	8886
524	9805	8871
525	9815	8844
526	9849	8840
527	9865	8818
528	9884	8800
529	9900	8779
530	9934	8774
531	9946	8749
532	9955	8722
533	9998	8725
534	10009	8699
535	10032	8684
536	10034	8652
537	10105	8678
538	10115	8651
539	10126	8626
540	10132	8596
541	10186	8607
542	10199	8584
543	10203	8552
544	10240	8549
545	10249	8522
546	10264	8500
547	10293	8490
548	10328	8485
549	10345	8464
550	10352	8436
551	10394	8436
552	10399	8406
553	10447	8410
554	10460	8387
555	10464	8356
556	10528	8373
557	10537	8347
558	10557	8328
559	10576	8310
560	10598	8293
561	10607	8267
562	10644	8262
563	10649	8232
564	10693	8232
565	10708	8211
566	10728	8192
567	10764	8186
568	10771	8159
569	10805	8151
570	10814	8125
571	10843	8113
572	10854	8088
573	10872	8069
574	10919	8070
575	10929	8045
576	10991	8057
577	10993	8026
578	11062	8043
579	11068	8014
580	11078	7989
581	11116	7984
582	11144	7971
583	11171	7958
584	11205	7949
585	11216	7924
586	11230	7901
587	11286	7907
588	11304	7888
589	11315	7863
590	11319	7833
591	11385	7847
592	11391	7818
593	11427	7810
594	11437	7785
595	11459	7767
596	11530	7783
597	11552	7765
598	11555	7736
599	11642	7761
600	11666	7745
601	11675	7719
602	11684	7693
603	11732	7692
604	11755	7674
605	11794	7668
606	11823	7654
607	11856	7644
608	11885	7631
609	11897	7606
610	11947	7606
611	11954	7579
612	11974	7559
613	11978	7530
614	12032	7532
615	12046	7509
616	12075	7495
617	12096	7477
618	12164	7487
619	12186	7468
620	12210	7452
621	12213	7422
622	12219	7394
623	12229	7368
624	12231	7338
625	12265	7327
626	12284	7308
627	12324	7300
628	12338	7277
629	12345	7250
630	12352	7223
631	12356	7194
632	12361	7166
633	12366	7138
634	12375	7113
635	12403	7098
636	12414	7074
637	12535	7112
638	12542	7085
639	12545	7056
640	12612	7063
641	12620	7037
642	12654	7026
643	12657	6996
644	12721	7001
645	12731	6976
646	12738	6950
647	12776	6940
648	12784	6914
649	12797	6891
650	12805	6865
651	12821	6843
652	12874	6841
653	12879	6813
654	12915	6802
655	12917	6773
656	12938	6754
657	12977	6745
658	12984	6718
659	13004	6699
660	13039	6687
661	13056	6666
662	13104	6661
663	13107	6632
664	13145	6622
665	13149	6594
666	13190	6585
667	13209	6565
668	13218	6540
669	13248	6525
670	13253	6498
671	13257	6470
672	13302	6463
673	13307	6436
674	13347	6426
675	13351	6399
676	13359	6373
677	13407	6367
678	13457	6362
679	13463	6335
680	13474	6311
681	13486	6288
682	13523	6276
683	13532	6251
684	13576	6243
685	13582	6217
686	13623	6206
687	13629	6180
688	13638	6156
689	13667	6140
690	13721	6136
691	13738	6114
692	13746	6089
693	13776	6074
694	13788	6051
695	13798	6026
696	13832	6013
697	13842	5989
698	13868	5971
699	13900	5957
700	13915	5935
701	13917	5908
702	13964	5899
703	13971	5874
704	13989	5853
705	13994	5827
706	13999	5801
707	14004	5776
708	14015	5752
709	14017	5725
710	14022	5699
711	14025	5673
712	14035	5649
713	14041	5624
714	14056	5602
715	14061	5577
716	14066	5552
717	14087	5532
718	14122	5519
719	14141	5499
720	14166	5481
721	14170	5456
722	14179	5432
723	14198	5412
724	14216	5392
725	14234	5372
726	14248	5350
727	14286	5337
728	14295	5314
729	14329	5299
730	14335	5275
731	14352	5254
732	14398	5244
733	14401	5218
734	14416	5197
735	14460	5187
736	14480	5167
737	14531	5159
738	14539	5135
739	14542	5109
740	14597	5102
741	14602	5077
742	14611	5053
743	14638	5036
744	14660	5018
745	14688	5001
746	14696	4977
747	14734	4964
748	14741	4940
749	14775	4925
750	14817	4912
751	14831	4891
752	14861	4874
753	14879	4854
754	14884	4830
755	14909	4812
756	14928	4792
757	14933	4767
758	14945	4745
759	14976	4729
760	14981	4705
761	14994	4683
762	15004	4660
763	15030	4643
764	15054	4624
765	15087	4608
766	15102	4587
767	15115	4566
768	15146	4549
769	15162	4528
770	15173	4506
771	15190	4486
772	15215	4468
773	15225	4445
774	15230	4421
775	15254	4403
776	15268	4382
777	15279	4359
778	15304	4341
779	15317	4320
780	15329	4298
781	15338	4275
782	15353	4254
783	15384	4238
784	15391	4215
785	15412	4196
786	15439	4178
787	15448	4156
788	15468	4136
789	15477	4114
790	15515	4099
791	15526	4077
792	15536	4055
793	15543	4032
794	15559	4012
795	15571	3990
796	15589	3970
797	15599	3948
798	15605	3925
799	15625	3906
800	15634	3884
801	15646	3862
802	15661	3842
803	15669	3820
804	15686	3799
805	15705	3780
806	15715	3758
807	15725	3736
808	15736	3715
809	15755	3695
810	15777	3676
811	15785	3654
812	15800	3634
813	15807	3611
814	15824	3592
815	15836	3570
816	15845	3549
817	15851	3526
818	15869	3507
819	15887	3487
820	15909	3468
821	15919	3447
822	15939	3428
823	15949	3406
824	15970	3387
825	15975	3365
826	15980	3343
827	15995	3322
828	16000	3300
829	16027	3282
830	16033	3260
831	16046	3240
832	16055	3218
833	16062	3197
834	16086	3178
835	16092	3156
836	16106	3136
837	16112	3114
838	16124	3094
839	16134	3073
840	16146	3052
841	16156	3031
842	16165	3010
843	16171	2989
844	16181	2968
845	16191	2947
846	16205	2927
847	16215	2906
848	16240	2888
849	16250	2867
850	16253	2845
851	16258	2824
852	16263	2802
853	16276	2782
854	16283	2761
855	16290	2740
856	16300	2719
857	16306	2698
858	16308	2677
859	16312	2655
860	16315	2633
861	16321	2612
862	16353	2596
863	16360	2575
864	16364	2554
865	16381	2534
866	16393	2514
867	16398	2493
868	16403	2472
869	16405	2451
870	16431	2433
871	16437	2412
872	16446	2392
873	16451	2371
874	16458	2351
875	16465	2330
876	16472	2310
877	16479	2289
878	16486	2269
879	16493	2249
880	16498	2228
881	16517	2209
882	16527	2189
883	16541	2170
884	16545	2149
885	16560	2130
886	16564	2110
887	16570	2090
888	16574	2069
889	16589	2050
890	16594	2030
891	16597	2009
892	16604	1989
893	16620	1970
894	16631	1951
895	16640	1931
896	16653	1912
897	16658	1892
898	16662	1872
899	16666	1851
900	16674	1832
901	16685	1812
902	16692	1793
903	16698	1773
904	16707	1753
905	16713	1734
906	16716	1714
907	16729	1695
908	16734	1675
909	16738	1655
910	16742	1635
911	16746	1615
912	16749	1596
913	16751	1576
914	16756	1556
915	16759	1536
916	16761	1517
917	16764	1497
918	16768	1477
919	16772	1458
920	16775	1438
921	16777	1419
922	16780	1399
923	16782	1380
924	16784	1360
925	16785	1341
926	16787	1321
927	16789	1302
928	16790	1283
929	16792	1263
930	16794	1244
931	16795	1225
932	16797	1206
933	16799	1187
934	16801	1167
935	16802	1148
936	16803	1129
937	16805	1110
938	16807	1091
939	16808	1072
940	16809	1053
941	16811	1035
942	16812	1016
943	16814	997
944	16815	978
945	16817	959
946	16819	941
947	16820	922
948	16822	904
949	16824	885
950	16825	866
951	16826	848
952	16828	829
953	16829	811
954	16831	793
955	16832	774
956	16834	756
957	16836	738
958	16837	719
959	16838	701
960	16840	683
961	16842	665
962	16843	647
963	16845	629
964	16847	611
965	16848	593
966	16850	575
967	16852	557
968	16854	539
969	16855	521
970	16857	503
971	16858	485
972	16861	467
973	16863	450
974	16865	432
975	16867	414
976	16868	397
977	16870	379
978	16872	361
979	16874	344
980	16876	326
981	16877	309
982	16880	291
983	16881	274
984	16883	257
985	16885	239
986	16886	222
987	16888	205
988	16890	187
989	16892	170
990	16893	153
991	16895	136
992	16898	119
993	16900	102
994	16901	84
995	16904	67
996	16906	50
997	16907	33
998	16909	16
999	16911	0
