RECALL,m_MDR_count_1_period_ago_sqrt,r_Recall_count_during_window,r_avg_Recalls_per_device_in_product_code_during_window,m_percent_of_MDRs_with_injury_during_window,m_percent_of_MDRs_with_remedial_action_of_recall_during_window,m_percent_of_MDRs_with_product_problem_manufacturer_during_window,m_percent_of_MDRs_with_product_problem_electronic_during_window,r_count_of_Recalls_before_window,m_MDRs_during_window_as_percent_of_MDRs_before_and_during_window,d_has_UDI,d_medspec_radiology,manufacturer_size_proxy_device_count_sqrt,d_decision_date_max_time,m_mdrs_during_window_trend
0,1.0,0.0,0.0714285714285714,0.0,0.333333333333333,0.666666666666667,0.0,0.0,0.995024875621891,1.0,0.0,15.7480157480236,-9.25,0.0952380952380952
0,1.4142135623731,0.0,0.107142857142857,0.933333333333333,0.0,0.0,0.0,0.0,0.999286224125625,0.0,0.0,3.16227766016838,-9.25,0.190476190476191
0,2.23606797749979,0.0,0.294117647058824,0.0606060606060606,0.0,0.0606060606060606,0.0909090909090909,0.0,0.999687597625742,0.0,0.0,19.5192212959431,-9.0,0.857142857142857
0,2.64575131106459,0.0,0.0235294117647059,0.0,0.0,0.6,0.1,0.0,0.99889012208657,0.0,0.0,3.16227766016838,-9.0,0.559523809523809
0,0.0,0.0,0.123529411764706,0.625,0.0,0.0,0.0,0.0,0.998573466476462,0.0,0.0,3.16227766016838,-8.5,-0.464285714285714
1,1.0,3.0,0.294117647058824,0.0,0.0,0.0,0.0833333333333333,0.0,0.999091734786558,0.0,0.0,3.16227766016838,-8.5,-0.130952380952381
1,2.64575131106459,3.0,0.294117647058824,0.0265486725663717,0.0,0.0973451327433628,0.132743362831858,0.0,0.999910722256941,0.0,0.0,3.16227766016838,-8.25,0.166666666666667
0,1.0,0.0,0.107142857142857,0.875,0.0,0.0,0.0,0.0,0.998573466476462,0.0,0.0,3.16227766016838,-8.0,-0.130952380952381
0,1.0,0.0,0.0714285714285714,0.8,0.0,0.0,0.0,0.0,0.997506234413965,0.0,0.0,3.16227766016838,-7.5,0.119047619047619
0,0.0,0.0,0.0540540540540541,0.384615384615385,0.0,0.0769230769230769,0.0769230769230769,0.0,0.999167360532889,0.0,0.0,3.16227766016838,-7.5,-0.285714285714286
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99009900990099,0.0,0.0,3.16227766016838,-7.25,-0.0119047619047619
0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.99009900990099,0.0,0.0,3.16227766016838,-7.25,0.0833333333333333
0,0.0,0.0,0.027027027027027,0.833333333333333,0.0,0.0,0.0,0.0,0.998003992015968,0.0,0.0,3.16227766016838,-7.0,-0.25
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99009900990099,0.0,0.0,3.16227766016838,-6.75,0.0833333333333333
0,2.23606797749979,0.0,0.294117647058824,0.102564102564103,0.0256410256410256,0.0512820512820513,0.307692307692308,0.0,0.999736911339121,0.0,0.0,3.16227766016838,-7.0,0.119047619047619
0,0.0,0.0,0.0411764705882353,0.333333333333333,0.0,0.333333333333333,0.333333333333333,0.0,0.995024875621891,0.0,0.0,4.58257569495584,-6.5,0.0238095238095238
0,5.47722557505166,0.0,0.0810810810810811,0.56015037593985,0.0,0.112781954887218,0.0338345864661654,0.0,0.999962265574884,0.0,0.0,3.16227766016838,-6.5,-3.79761904761905
1,7.74596669241483,0.0,0.111111111111111,0.1,0.0,0.1,0.438888888888889,0.0,0.999944137199039,0.0,0.0,2.0,-6.25,6.03571428571428
0,7.28010988928052,0.0,0.214285714285714,0.482897384305835,0.0,0.193158953722334,0.0301810865191147,0.0,0.999979839116147,0.0,0.0,37.5499667110372,-6.25,-5.88095238095238
0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.998751560549313,0.0,0.0,3.16227766016838,-6.25,-0.214285714285714
0,0.0,0.0,0.0540540540540541,0.9,0.0,0.0,0.0,0.0,0.99889012208657,0.0,0.0,15.7480157480236,-5.5,-0.226190476190476
0,0.0,0.0,0.0,0.833333333333333,0.0,0.0,0.0,0.0,0.998003992015968,0.0,0.0,3.16227766016838,-6.0,-0.130952380952381
1,8.77496438739212,2.0,0.0810810810810811,0.309192200557103,0.324512534818941,0.422005571030641,0.0724233983286908,0.0,0.999986053193121,0.0,0.0,3.16227766016838,-6.0,10.0
0,10.295630140987,0.0,0.0810810810810811,0.554831704668838,0.0,0.160694896851249,0.0271444082519001,0.0,0.999989130552929,1.0,0.0,37.5499667110372,-5.5,-10.0
0,0.0,0.0,0.107142857142857,0.0,0.0,0.0,0.0,0.0,0.995024875621891,1.0,0.0,2.23606797749979,-5.5,0.119047619047619
1,3.16227766016838,2.0,0.294117647058824,0.0620689655172414,0.0,0.0,0.0206896551724138,0.0,0.999930560377752,1.0,0.0,15.7480157480236,-5.5,1.11904761904762
0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.99009900990099,0.0,0.0,3.16227766016838,-5.5,0.0833333333333333
0,51.0489960724009,0.0,0.294117647058824,0.0010840761262346,0.0001204529029149,0.415321609250783,0.201638159479643,0.0,0.999998795327316,0.0,0.0,3.16227766016838,-5.5,10.0
1,4.35889894354067,6.0,0.294117647058824,0.0857142857142857,0.0987012987012987,0.0545454545454545,0.0701298701298701,0.0,0.999973959011484,0.0,0.0,3.16227766016838,-5.5,-8.97619047619047
0,0.0,0.0,0.0235294117647059,0.75,0.0,0.0,0.0,0.0,0.996677740863787,0.0,0.0,3.16227766016838,-5.0,-0.178571428571428
